indicator_id,value,observation_year,source_name,source_url,confidence,provenance,is_proxy,proxy_note,data_gap,gap_steward,suggested_level,assessor_level,assessor_name,notes
3.10,,2026,Template_ProjectNote,https://cgspace.cgiar.org/server/api/core/bitstreams/d4a33acc-564a-4e4c-a413-81ba3ebd4d90/content,Medium,machine-researched,false,,false,Ministry of Agriculture / private-sector panel,2,,,"MACHINE-RESEARCHED PROPOSAL — Level 2. Confirm, correct or reject at validation.
L2 is the highest level supported. IFPRI notes that 'many Egyptian digital tools remain pilot-stage or region-specific, with very few achieving national scale' and that 'digital marketplaces such as Mahsoly and Egypt-based Fresh-Source are credited with reducing intermediaries and improving cold-chain efficiency, though empirical evaluations are limited.' The same source documents donor dependence: 'Egyptian developers often rely on partnerships with NGOs and donor-funded programs to reach farmers, creating dependency on project cycles rather than stable revenue streams.' A concrete market platform is listed in the IFPRI apps repository: 'Mahsoly is an online crops and land market providing registrants a platform to offer their crops/ lands for sale without an intermediary.' FAO's STI portal states that for Agri Cash 'specific adoption metrics are not publicly available, the solution appears to be operational in Egypt', so no active-user count supports moving beyond L2.
Why not L3: L3 requires operational platforms with defined ownership and partial coverage, plus evidence of adoption or interoperability gaps. The documents provide no defined ownership and no active-user counts; FAO states 'specific adoption metrics are not publicly available', and IFPRI notes very few tools achieve national scale and developers are donor-dependent. Therefore L3 is not evidenced.
Further sources: Template_ProjectNote: https://cgspace.cgiar.org/server/api/core/bitstreams/d4a33acc-564a-4e4c-a413-81ba3ebd4d90/content · Template_ProjectNote: https://cgspace.cgiar.org/server/api/core/bitstreams/d4a33acc-564a-4e4c-a413-81ba3ebd4d90/content · Agriculture Apps Repository: https://egyptssp.ifpri.info/agricultural-apps/ · Agri Cash [Egypt] | Science, Technology and Innovation (STI) Portal: https://sti-portal.fao.org/innovations/agri-cash-egypt"
3.11,,2025,Ministry of Agriculture and Land Reclamation,https://www.moalr.gov.eg/,Medium,assessor,false,,false,Digital authority / Ministry of Agriculture,2,3,Randeep Sudan,"QA delivery loop — scripted demonstration record, not an official Government of Egypt reading."
3.12,,,Dataset catalogue,,,named-gap,false,,false,Digital authority,,,,
3.2,,,Open Data Watch ODIN,https://odin.opendatawatch.com/,,named-gap,false,,false,Open Data Watch ODIN,,,,
3.3,,2025,Ministry of Agriculture and Land Reclamation,https://www.moalr.gov.eg/,Medium,assessor,false,,false,Ministry of Agriculture,,3,Randeep Sudan,"QA delivery loop — scripted demonstration record, not an official Government of Egypt reading."
3.4,,2026,Adsero,https://adsero.me/egypt-introduces-comprehensive-national-real-estate-identification-law/,Medium,machine-researched,false,,false,Lands ministry,2,,,"MACHINE-RESEARCHED PROPOSAL — Level 2. Confirm, correct or reject at validation.
Egypt has legislated and begun issuing a national digital property ID, but the evidence does not show a formal digital land/plot registration system. Law No. 88 of 2025 mandates a centralised digital database assigning a unique ID to each real estate asset, and Egypt has issued nearly 30 million National Property Identification Numbers. However, the World Bank states that the National Property ID functions solely as a unique digital identifier, not legal registration, and that legal ownership continues to depend exclusively on registration with the Real Estate Registry. Formal registration coverage is below 10%, rollout is expected to take up to five years and is voluntary, and the authority to oversee the data system is still to be determined by Prime Ministerial decree. This makes the current capability an early/ad hoc digital property database rather than an operational registration system.
Why not L3: L3 requires an operational digital land/plot registration system with defined ownership and partial coverage. The documents show the digital property ID is not legal registration or proof of ownership; legal ownership depends on the separate Real Estate Registry. Defined ownership and operational registration are therefore not evidenced, and the World Bank notes fragmented databases and overlapping institutional responsibilities.
Further sources: Dailynewsegypt: https://www.dailynewsegypt.com/2026/07/05/egypts-property-registration-rate-remains-below-10-despite-major-digital-id-rollout-world-bank/ · Dailynewsegypt: https://www.dailynewsegypt.com/2026/07/05/egypts-property-registration-rate-remains-below-10-despite-major-digital-id-rollout-world-bank/ · Dailynewsegypt: https://www.dailynewsegypt.com/2026/07/05/egypts-property-registration-rate-remains-below-10-despite-major-digital-id-rollout-world-bank/ · Dailynewsegypt: https://www.dailynewsegypt.com/2026/07/05/egypts-property-registration-rate-remains-below-10-despite-major-digital-id-rollout-world-bank/ · Invest-Gate: https://invest-gate.me/features/egypt-moves-forward-with-property-id-law-to-digitize-real-estate-sector/ · Invest-Gate: https://invest-gate.me/features/egypt-moves-forward-with-property-id-law-to-digitize-real-estate-sector/"
3.5,,2026,Home - Egypt Data Portal,https://egypt.opendataforafrica.org/,Medium,machine-researched,false,,false,Ministry of Agriculture / statistics office,3,,,"MACHINE-RESEARCHED PROPOSAL — Level 3. Confirm, correct or reject at validation.
L3 is supported. The Home - Egypt Data Portal is an operational national data platform: it has a 'Data Catalog', lists 'Agriculture' as a topic, and presents 'Egypt Data At a Glance'. Defined ownership is evidenced by the portal's 'CAPMAS Link' and 'Copyright CAPMAS 2026'. Coverage is partial: agriculture is one of the portal's themes, and the documents do not show a comprehensive agriculture-specific dataset. The separate Egyptian Agricultural Database is a narrow, directory-style service: 'It is a free electronic directory for all agricultural production supplies and companies'.
Why not L4: L4 requires scaled and funded national agricultural data portal / open data with accountable governance, interoperability and broad use. The supplied documents do not evidence scale or dedicated funding, accountable governance arrangements beyond the CAPMAS copyright statement, interoperability mechanisms, or broad use of the portal.
Further sources: Home - Egypt Data Portal: https://egypt.opendataforafrica.org/ · Home - Egypt Data Portal: https://egypt.opendataforafrica.org/ · Home - Egypt Data Portal: https://egypt.opendataforafrica.org/ · Home - Egypt Data Portal: https://egypt.opendataforafrica.org/ · Egyptian Agricultural Database | Science, Technology and Innovation (STI) Portal: https://sti-portal.fao.org/organizations/egyptian-agricultural-database"
3.6,,2026,Egypt,https://www.fao.org/in-action/scala/countries/egypt,Medium,machine-researched,false,,false,Met service / Ministry of Agriculture,3,,,"MACHINE-RESEARCHED PROPOSAL — Level 3. Confirm, correct or reject at validation.
L3 is the highest level evidenced. Agriculture-relevant advisories are produced: the IFPRI/CGIAR note states that SMS delivery has been used for weather alerts, pest warnings, and market price notifications, and identifies named apps such as Hodhod, Mahsooly, and The Smart Farmer Guide aiming to fill gaps left by overstretched public extension systems. Defined ownership is evidenced by the note's finding based on interviews with app developers of digital agricultural tools. Dissemination reaches a minority: the same note states many Egyptian digital tools remain pilot-stage or region-specific, with very few achieving national scale. Impact-based advisories are absent: no supplied document describes impact-based agromet advisories, only weather alerts, pest warnings, and market price notifications.
Why not L4: L4 is not evidenced because no document describes impact-based agromet advisories, alignment to crop calendars, or dissemination through channels reaching most farming areas. The IFPRI/CGIAR note states very few digital tools achieve national scale, and official FAO/UNDP sources describe an early warning system for smallholder farmers as a roadmap/future priority rather than a current service with verified reach.
Further sources: Egypt scales up climate adaptation actions of its agriculture, water and agrifood sectors: https://www.adaptation-undp.org/egypt-scales-climate-adaptation-actions-its-agriculture-water-and-agrifood-sectors · Digital Agricultural Technology in Egypt: Insights from App Developers: https://cgspace.cgiar.org/server/api/core/bitstreams/d4a33acc-564a-4e4c-a413-81ba3ebd4d90/content · Digital Agricultural Technology in Egypt: Insights from App Developers: https://cgspace.cgiar.org/server/api/core/bitstreams/d4a33acc-564a-4e4c-a413-81ba3ebd4d90/content · Digital Agricultural Technology in Egypt: Insights from App Developers: https://cgspace.cgiar.org/server/api/core/bitstreams/d4a33acc-564a-4e4c-a413-81ba3ebd4d90/content · Digital Agricultural Technology in Egypt: Insights from App Developers: https://cgspace.cgiar.org/server/api/core/bitstreams/d4a33acc-564a-4e4c-a413-81ba3ebd4d90/content"
3.7,,2018,Egypt's Earth Observation Systems,https://www.globalsecurity.org/space/world/egypt/earth.htm,Medium,machine-researched,false,,false,Space / agriculture agency,3,,,"MACHINE-RESEARCHED PROPOSAL — Level 3. Confirm, correct or reject at validation.
The documents support L3. Operational capability: GlobalSecurity states Egypt has ""an advanced and integrated capability for processing and analysing images"" and that ""Those images are used efficiently in development plans in various fields."" The Remote Sensing sector ""works on the use of data provided by earth observation satellites and various airborne sensors to produce maps and spatial data."" Defined ownership: ""In 1994 the Authority was established as an organization under the State Ministry of Scientific Research"" and ""NARSS includes two major sectors: Remote Sensing and Space Sciences."" Partial coverage and remaining adoption/access gaps: the source states Egypt ""intended to build a ground receiving station for satellite images during the year 2000"" and that this ""will lead to enhanced capabilities in remote sensing and will provide speedier and cheaper access to satellite data and their wider use for development purposes,"" indicating remaining gaps rather than broad, scaled use.
Why not L4: Level 4 is not evidenced because the documents do not establish a scaled and funded capability, accountable governance, interoperability, or broad use. The source only describes an ""intended"" ground receiving station and future ""wider use,"" without verified outcomes or broad institutional adoption.
Further sources: Egypt's Earth Observation Systems: https://www.globalsecurity.org/space/world/egypt/earth.htm · Egypt's Earth Observation Systems: https://www.globalsecurity.org/space/world/egypt/earth.htm · Egypt's Earth Observation Systems: https://www.globalsecurity.org/space/world/egypt/earth.htm · Egypt's Earth Observation Systems: https://www.globalsecurity.org/space/world/egypt/earth.htm · Egypt's Earth Observation Systems: https://www.globalsecurity.org/space/world/egypt/earth.htm"
3.8,,,"GEOMATICS FOR DIGITAL EGYPTIAN SOILS MAPPING, CASE STUDY OF NORTHWESTERN COAST",https://mmm-gi.geo-see.org/wp-content/uploads/MMM-GI_16/Gad_Hammad_Zahran.pdf,Medium,machine-researched,false,,false,Ministry of Agriculture / soil institute,2,,,"MACHINE-RESEARCHED PROPOSAL — Level 2. Confirm, correct or reject at validation.
Document 6 describes an ad hoc digital soil mapping exercise for Egypt. The title states: 'GEOMATICS FOR DIGITAL EGYPTIAN SOILS MAPPING, CASE STUDY OF NORTHWESTERN COAST'. The paper explains that 'The current study aimed basically to build ageoreferenced thematic database of the study area' and that 'Soil map was produced including dominant geographic units and soil association'. Coverage is narrow: it concerns 'The northwestern coast of Egypt', with acquired data 'covering the whole study area'. The supplied material does not identify an accountable national data custodian; the only named actors are research bodies such as 'National Authority for Remote Sensing and space Science (NARSS)' and a university faculty. This is consistent with L2: a pilot/ad hoc, narrow-coverage digital soil mapping product with unclear ownership, not an operational national database.
Why not L3: The next level, L3, requires an operational national soil map/database with defined ownership and partial coverage. No supplied document demonstrates an operational national digital soil database, a defined national custodian, national coverage beyond the northwestern-coast study area, or adoption and interoperability arrangements. The only evidence is a single case study.
Further sources: GEOMATICS FOR DIGITAL EGYPTIAN SOILS MAPPING, CASE STUDY OF NORTHWESTERN COAST: https://mmm-gi.geo-see.org/wp-content/uploads/MMM-GI_16/Gad_Hammad_Zahran.pdf · GEOMATICS FOR DIGITAL EGYPTIAN SOILS MAPPING, CASE STUDY OF NORTHWESTERN COAST: https://mmm-gi.geo-see.org/wp-content/uploads/MMM-GI_16/Gad_Hammad_Zahran.pdf · GEOMATICS FOR DIGITAL EGYPTIAN SOILS MAPPING, CASE STUDY OF NORTHWESTERN COAST: https://mmm-gi.geo-see.org/wp-content/uploads/MMM-GI_16/Gad_Hammad_Zahran.pdf · GEOMATICS FOR DIGITAL EGYPTIAN SOILS MAPPING, CASE STUDY OF NORTHWESTERN COAST: https://mmm-gi.geo-see.org/wp-content/uploads/MMM-GI_16/Gad_Hammad_Zahran.pdf · GEOMATICS FOR DIGITAL EGYPTIAN SOILS MAPPING, CASE STUDY OF NORTHWESTERN COAST: https://mmm-gi.geo-see.org/wp-content/uploads/MMM-GI_16/Gad_Hammad_Zahran.pdf"
3.9,,,Advisory platform user statistics,,,named-gap,false,,false,Ministry of Agriculture / private-sector panel,,,,
4.1,,2025,Ministry of Agriculture and Land Reclamation,https://www.moalr.gov.eg/,Medium,assessor,false,,false,Digital authority / justice ministry,3,3,Randeep Sudan,"QA delivery loop — scripted demonstration record, not an official Government of Egypt reading."
4.10,,,Competition authority files,,,named-gap,false,,false,Competition authority,,,,
4.11,,,Public-procurement rules,,,named-gap,false,,false,Procurement authority,,,,
4.12,,,Spectrum plan,,,named-gap,false,,false,Regulator,,,,
4.13,,,Responsible-AI guidance,,,named-gap,false,,false,Digital authority / Ministry of Agriculture,,,,
4.2,1,2024,ITU Global Cybersecurity Index overall score (via World Bank Data360),https://data360.worldbank.org/en/dataset/ITU_GCI,High,machine-imported,false,,false,ITU,5,,,Primary official series. Used first.
4.3,,,Oxford Insights Government AI Readiness Index,https://oxfordinsights.com/ai-readiness/ai-readiness-index/,,named-gap,false,,false,Oxford Insights,,,,
4.4,,2026,Egypt’s Sustainable Agricultural Transformation Leverages Cutting-Edge Technology,https://sponsored.bloomberg.com/article/ministry-of-international-cooperation/egypts-sustainable-agricultural-transformation-taps-into-cutting-edge-technology,Medium,machine-researched,false,,false,Ministry of Agriculture,2,,,"MACHINE-RESEARCHED PROPOSAL — Level 2. Confirm, correct or reject at validation.
Egypt shows digital agriculture activity that is still pilot-stage, narrow in coverage, and donor-dependent, matching L2. Document [1] states: 'The study highlights that many Egyptian digital tools remain pilot-stage or region-specific, with very few achieving national scale.' It also reports that 'Developers often struggle between piloting and scaling' and that 'Egyptian developers often rely on partnerships with NGOs and donor-funded programs to reach farmers, creating dependency on project cycles rather than stable revenue streams.' Government-led digital agriculture intervention exists but remains narrow and donor-backed: SAIL was 'Backed by funding from the UN International Fund for Agricultural Development' and 'began operations in 2016, covering an area of over 900 feddans (934 acres)' [2]. Together these satisfy L2's pilot/ad hoc, narrow coverage, and donor dependence clauses.
Why not L3: Level 3 requires an operational national digital agriculture strategy with defined ownership and partial coverage. The documents do not show one: the national strategy described is the Egypt National Artificial Intelligence Strategy, which 'aims to position the country as a regional leader through six pillars: Governance, Technology, Data, Infrastructure, Ecosystem, and Talent' and 'focuses on improving life in sectors like health and agriculture' [3]; it is not evidenced as a digital agricultur
Further sources: Template_ProjectNote: https://cgspace.cgiar.org/server/api/core/bitstreams/d4a33acc-564a-4e4c-a413-81ba3ebd4d90/content · Template_ProjectNote: https://cgspace.cgiar.org/server/api/core/bitstreams/d4a33acc-564a-4e4c-a413-81ba3ebd4d90/content · Template_ProjectNote: https://cgspace.cgiar.org/server/api/core/bitstreams/d4a33acc-564a-4e4c-a413-81ba3ebd4d90/content · Egypt National Artificial Intelligence Strategy: https://oecd.ai/en/dashboards/policy-initiatives/egypt-national-artificial-intelligence-strategy · Egypt National Artificial Intelligence Strategy: https://oecd.ai/en/dashboards/policy-initiatives/egypt-national-artificial-intelligence-strategy"
4.5,,2025,Ministry of Agriculture and Land Reclamation,https://www.moalr.gov.eg/,Medium,assessor,false,,false,Digital authority / Ministry of Agriculture,,3,Randeep Sudan,"QA delivery loop — scripted demonstration record, not an official Government of Egypt reading."
4.6,,2026,Egypt National Artificial Intelligence Strategy,https://oecd.ai/en/dashboards/policy-initiatives/egypt-national-artificial-intelligence-strategy,Medium,machine-researched,false,,false,Digital authority,3,,,"MACHINE-RESEARCHED PROPOSAL — Level 3. Confirm, correct or reject at validation.
L3 is supported. Egypt has a formal national AI strategy with an agriculture component: the OECD policy entry identifies the strategy as a government plan and states it is intended to improve 'agricultural output and water management'. The first strategy document also lists agriculture among phase 1 priority sectors. Ownership is defined, with the National Council for Artificial Intelligence described as having the objective 'to formalize and govern the implementation of Egypt’s National AI Strategy'. The strategy is operational rather than merely ad hoc, with implementation tools such as sectoral flagship projects including smart irrigation. Coverage remains partial and adoption is still framed as a target, since monitoring includes 'adoption rates in priority sectors' rather than demonstrating broad use.
Why not L4: L4 is not met because the supplied documents do not evidence scaled and funded agriculture AI deployment, accountable governance operating at scale, interoperability, or broad use. They describe strategies, priority sectors, proposed or emerging operational mechanisms, and targets, but provide no agriculture-specific budget allocations, interoperability standards, or verified broad adoption outcomes.
Further sources: Egypt National Artificial Intelligence Strategy: https://oecd.ai/en/dashboards/policy-initiatives/egypt-national-artificial-intelligence-strategy · Egypt's National Artificial Intelligence Strategy: https://www.slideshare.net/slideshow/egypt-s-national-artificial-intelligence-strategy/270928635 · Egypt's National Artificial Intelligence Strategy: https://www.slideshare.net/slideshow/egypt-s-national-artificial-intelligence-strategy/270928635 · Egypt's national AI strategy – Second edition 2025-2030 | Digital Watch Observatory: https://dig.watch/resource/egypts-national-ai-strategy-second-edition-2025-2030 · Egypt's national AI strategy – Second edition 2025-2030 | Digital Watch Observatory: https://dig.watch/resource/egypts-national-ai-strategy-second-edition-2025-2030"
4.7,,,ID4D / national ID authority,https://id4d.worldbank.org/global-dataset,,named-gap,false,,false,ID4D / national ID authority,,,,
4.8,,,Data-sovereignty provisions,,,named-gap,false,,false,Digital authority / justice ministry,,,,
4.9,,2025,Ministry of Agriculture and Land Reclamation,https://www.moalr.gov.eg/,Medium,assessor,false,,false,Ministry of Agriculture / digital authority,,3,Randeep Sudan,"QA delivery loop — scripted demonstration record, not an official Government of Egypt reading."
5.1,7.15,2010,World Bank Education Statistics — Barro-Lee average years of schooling (age 15+),https://data.worldbank.org/indicator/BAR.SCHL.15UP,Low/Estimated,proxy,true,"Proxy: Barro-Lee average years of total schooling, age 15+. Authoritative replacement is UNDP HDR mean years of schooling (adults 25+).",false,UNDP / statistics office,3,,,"Official publisher, but the series is a documented proxy for the DAMM indicator."
5.10,,,Training reach statistics,,,named-gap,false,,false,Ministry of Agriculture,,,,
5.11,,,FAO Overview of the agricultural sector,https://openknowledge.fao.org/bitstreams/e5eac8c4-9eaf-491a-88c7-29be21b103da/download,Medium,machine-researched,false,,false,Ministry of Agriculture,2,,,"MACHINE-RESEARCHED PROPOSAL — Level 2. Confirm, correct or reject at validation.
L2 is proposed. The L2 anchor requires pilot or ad hoc institutional digital maturity, narrow coverage, and unclear ownership or donor dependence. The FAO brief confirms public extension institutions but no dedicated digital/extension policy: 'Egypt lacks a dedicated policy on extension and rural advisory services.' CAAEE is 'the main government agency under the MALR responsible for delivering agricultural extension services to farmers across Egypt' and includes a 'technical office and information technology' unit, but this indicates an administrative IT function rather than scaled digital maturity. The same brief describes government and development partners as having 'undertaken initiatives' rather than established operational systems. On the wider digital agriculture ecosystem, the CGIAR/IFPRI note states 'many Egyptian digital tools remain pilot-stage or region-specific, with very few achieving national scale' and 'Egyptian developers often rely on partnerships with NGOs and donor-funded programs to reach farmers, creating dependency on project cycles rather than stable revenue streams.' These facts satisfy the L2 clauses of pilot/ad hoc maturity, narrow coverage, and donor dependence.
Why not L3: Not L3 because the documents do not evidence operational institutional digital maturity of key agricultural agencies with defined ownership and partial coverage. There is no named government/agency-operated agricultural digital platform shown to be running beyond pilots with clear ownership, sustained funding, and measurable coverage. The available evidence describes external private-sector or NGO/donor-supported tools, plus a general national ICT 2030 strategy, but not an operational agricultur
Further sources: FAO Overview of the agricultural sector: https://openknowledge.fao.org/bitstreams/e5eac8c4-9eaf-491a-88c7-29be21b103da/download · FAO Overview of the agricultural sector: https://openknowledge.fao.org/bitstreams/e5eac8c4-9eaf-491a-88c7-29be21b103da/download · FAO Overview of the agricultural sector: https://openknowledge.fao.org/bitstreams/e5eac8c4-9eaf-491a-88c7-29be21b103da/download · Digital Agricultural Technology in Egypt: Insights from App Developers: https://cgspace.cgiar.org/server/api/core/bitstreams/d4a33acc-564a-4e4c-a413-81ba3ebd4d90/content · Digital Agricultural Technology in Egypt: Insights from App Developers: https://cgspace.cgiar.org/server/api/core/bitstreams/d4a33acc-564a-4e4c-a413-81ba3ebd4d90/content"
5.12,,,Workforce gender statistics,,,named-gap,false,,false,Ministry of Agriculture,,,,
5.2,79.45,2022,World Bank WDI / UNESCO UIS,https://data.worldbank.org/indicator/SE.ADT.LITR.ZS,High,machine-imported,false,,false,Statistics office / UNESCO,3,,,Primary official series. Used first.
