chapter,category,severity,excerpt,note,source,created_at
9,contradiction,high,"Randeep Sudan (TTL), 18 Aug 2026 | Rejected: Rice expansion. Shortlist proposed to counterpart.",This step records a rejected Rice expansion while Table 9.1 records Targeting rejected as None; the editor should reconcile the targeting summary with the decision record.,model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
1,ownerless-recommendation,medium,"The claim explanation records: *“Capability coverage is below the gate: CMS coverage must reach the configured minimum and every capability pillar must clear its coverage floor.”*

**Available pillar results are uneven and cannot be aggrega","A recommendation without an owner, payer, legal basis or delivery channel — name one or downgrade to a hypothesis.",deterministic,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
10,unsupported-claim,medium,"Vision, targeting and beneficiaries are taken from the recorded Step 3 decision and any government endorsement at Step 5.","The chapter's own Step 3 and Step 5 records mention only chain shortlist/segmentation and gate names, so this claims source support for vision, targeting and beneficiaries that are never supplied; the editor should either include those items or revise the sentence.",model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
11,ambiguity,medium,QA strategic foresight fixture. Scenario Alpha assumes accelerated smallholder platform adoption by 2032; Scenario Beta assumes stalled rural connectivity investment.,This is QA/test fixture text presented as task-team strategic-foresight material without a clear statement that it is not substantive; the editor should remove it or explicitly flag it as placeholder test data.,model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
11,ownerless-recommendation,medium,Laban Kiplagat stated that digital agriculture must ultimately be about improving the lives and opportunities of Africa's farmers.,"A recommendation without an owner, payer, legal basis or delivery channel — name one or downgrade to a hypothesis.",deterministic,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
11,contradiction,medium,Chapter 11 is assembled only from recorded decisions and engine facts.,"The chapter later includes user-uploaded strategic-foresight material, which is neither a recorded decision nor an engine fact; the editor should correct the assembly statement or reclassify the uploads.",model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
11,ambiguity,medium,machine-imported official series validated as provisional; human-cleared gates carry demonstration citations.,"The note says citations are for demonstration, but the chapter presents the comparator list as normally cited sources without marking them as placeholders; the editor should clarify which citations are demonstrative.",model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
12,contradiction,medium,Chapter 12 is assembled only from recorded decisions and engine facts.,"The chapter later includes ""Strategic-foresight material provided by the task team (user uploads, cited as such)"", which is neither a recorded decision nor an engine fact, so the provenance claim is false and should be corrected or the user-upload material removed.",model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
12,ownerless-recommendation,medium,Laban Kiplagat stated that digital agriculture must ultimately be about improving the lives and opportunities of Africa's farmers.,"A recommendation without an owner, payer, legal basis or delivery channel — name one or downgrade to a hypothesis.",deterministic,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
13,ownerless-recommendation,medium,"#### 13.3.4 Reported external conditions

The following are reported but unverified and should not be treated as model-validated:

- Egypt’s ICT sector is reported to have grown at 15.2% for fiscal year 2022/2023 (trade.gov, 2023).","A recommendation without an owner, payer, legal basis or delivery channel — name one or downgrade to a hypothesis.",deterministic,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
13,ownerless-recommendation,medium,"### 13.2 Why these conclusions matter

- **A suppressed maturity score must not be read as a low score.** The engine says “insufficient capability evidence”, not “low capability”.","A recommendation without an owner, payer, legal basis or delivery channel — name one or downgrade to a hypothesis.",deterministic,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
13,ownerless-recommendation,medium,The recorded reason is that capability coverage is below the gate: **CMS coverage must reach the configured minimum and every capability pillar must clear its coverage floor**.,"A recommendation without an owner, payer, legal basis or delivery channel — name one or downgrade to a hypothesis.",deterministic,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
13,contradiction,medium,| C0 Agricultural context & need | Not rated | 0% (0/8) | Not rated | 1 |,"The row records both 0% coverage and one stale indicator, which is internally inconsistent unless 'stale' is defined as independent of coverage; the editor should reconcile or define the column.",model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
13,ambiguity,medium,"validated statistics for core gates 2.1, 2.5, 2.9, 3.3 and 3.11","These numeric core-gate identifiers are never mapped to the named core gates in 13.3.3, so the evidence requirement is unverifiable; the editor should replace them with gate names or provide the mapping.",model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
14,ownerless-recommendation,medium,The first tranche should close the evidence and governance floor before new systems are procured.,"A recommendation without an owner, payer, legal basis or delivery channel — name one or downgrade to a hypothesis.",deterministic,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
14,ownerless-recommendation,medium,"**Two strategic-foresight scenarios must condition all investment decisions:**  
   - **Scenario Alpha:** accelerated smallholder platform adoption by 2032.","A recommendation without an owner, payer, legal basis or delivery channel — name one or downgrade to a hypothesis.",deterministic,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
14,ambiguity,medium,CMS coverage must reach the configured minimum and every capability pillar must clear its coverage floor.,"The chapter invokes a configured minimum and coverage floor as the gate but never states the numeric threshold, leaving decision-makers unable to determine when the gate clears; the editor should specify the floors.",model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
14,unsupported-claim,medium,This is consistent with the FAO finding that rural advisory services in Egypt are primarily provided by the public sector,"This FAO finding is asserted without a source citation or verification flag, unlike other external claims in the chapter; the editor should add a source or mark it as reported.",model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
14,ambiguity,medium,"route unmeasured core gates to ITU/GSMA, MALR, NTRA/MCIT","This Step 4 quote appears to conflict with the same chapter's record of 'Core gates unmeasured: 0', so the editor should clarify that the Step 4 plan is historical or update the current record.",model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
14,ownerless-recommendation,medium,"**The assessment cannot support a scale-up investment plan at this time.**  
   The recorded reason is: *“Capability coverage is below the gate: CMS coverage must reach the configured minimum and every capability pillar must clear its cover","A recommendation without an owner, payer, legal basis or delivery channel — name one or downgrade to a hypothesis.",deterministic,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
15,contradiction,medium,"However, the Step 4 evidence-plan note records an intention","This conflicts with the earlier statement that the model records zero unmeasured core gates, and the chapter only flags the inconsistency without resolving it; the editor should reconcile or remove one of the two records before finalization.",model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
15,ambiguity,medium,"improvement in core gates 4.1, 4.2, 4.5, 7.9, and 7.12","The chapter's own core-gate table records 4.2 at Level 5, so requiring 'improvement' is ambiguous unless the scale extends beyond Level 5; the editor should clarify whether the requirement means maintain, verify, or raise.",model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
15,ownerless-recommendation,medium,"## 15.2 Why this matters

A minister should not announce a stage-based digital agriculture maturity for Egypt on the basis of this assessment.","A recommendation without an owner, payer, legal basis or delivery channel — name one or downgrade to a hypothesis.",deterministic,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
15,ownerless-recommendation,medium,"It must first close evidence and coverage gaps, then sequence around the recorded strengths and the unrated pillars.","A recommendation without an owner, payer, legal basis or delivery channel — name one or downgrade to a hypothesis.",deterministic,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
15,ownerless-recommendation,medium,"Therefore, this roadmap must not use a maturity stage to justify investment.","A recommendation without an owner, payer, legal basis or delivery channel — name one or downgrade to a hypothesis.",deterministic,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
16,ambiguity,medium,machine-imported official series validated as provisional; human-cleared gates carry demonstration citations.,"This note does not identify the official series, the human-cleared gates, or any demonstration citations, so a decision-maker cannot tell what is validated or where the gates are; rewrite to add references or remove the note.",model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
16,ownerless-recommendation,medium,Laban Kiplagat stated that digital agriculture must ultimately be about improving the lives and opportunities of Africa's farmers.,"A recommendation without an owner, payer, legal basis or delivery channel — name one or downgrade to a hypothesis.",deterministic,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
17,ambiguity,medium,coverage 61%; A member pillar is not rated.,"The adjacent scorecard reports C0-C4 coverage as 0/8, 7/11, 9/12, 6/13, 8/13 (30/57, about 53%), so the CMS coverage figure is not derivable unless C0 is excluded; define CMS composition or correct the metric.",model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
2,ambiguity,medium,"Egypt’s median download speed was reported at 11.5 Mbps in 2026 (source: speedof.me, 2026).",The same chapter reports internet speeds reaching 80.3 MB/s as of January 2025 without specifying metric or unit comparability; editor should reconcile the two figures or label them as different measures.,model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
3,ambiguity,medium,Capability coverage is below the gate: CMS coverage must reach the configured minimum and every capability pillar must clear its coverage floor.,"The configured minimum and coverage floor are never specified, so a decision-maker cannot tell how far Egypt is from a rating; the editor should state the thresholds.",model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
6,ambiguity,medium,"The model records **9 validated indicators**, **44 levelled indicators**, **22 imported rows**, **49 named gaps**, **0 explicit data gaps** and **5 stale indicators**.","The selected public-domain evidence table flags at least seven observations as STALE, so the model’s “5 stale indicators” count appears to use a different scope; the editor should clarify the relationship between the two stale counts.",model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
8,unsupported-claim,medium,machine-imported official series validated as provisional; human-cleared gates carry demonstration citations,"The chapter asserts that human-cleared gates carry demonstration citations but provides no such citations or definition of gates, leaving the claim unsupported; the editor should supply the citations or remove the assertion.",model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
9,contradiction,medium,"The recorded data governance, coordination, extension training, digital/AI unit, cybersecurity, and farmer consent gates are at level 3.","Table 9.3 records the 4.2 Cybersecurity legal framework (ITU GCI) gate at level 5, so this unqualified summary contradicts the table; the editor should name the specific cybersecurity gate or correct the summary.",model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
9,contradiction,medium,"Evidence plan: route unmeasured core gates to ITU/GSMA, MALR, NTRA/MCIT.",This note conflicts with the recorded Core gates unmeasured 0 in Table 9.1; the editor should clarify whether the note is stale or describes an earlier stage of the evidence plan.,model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
13,contradiction,low,"2016 fixed broadband speed, 2020 mobile ownership/mobile internet, and 2021 mobile connections are STALE.","This do-not-do item names a 2016 fixed broadband speed as stale, but the connectivity evidence section lists no such figure; the editor should add the source or remove the reference.",model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
15,ambiguity,low,C0 Agricultural context & need | Not rated | 0% (0/8) | Not rated | 1,"The row shows C0 at 0% coverage yet carrying one stale flag, which is confusing unless the model's stale-flag definition allows flags on indicators not counted in coverage; the editor should explain or correct it.",model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
15,ambiguity,low,Acceptance of the Step 6 validated read-outs as a planning baseline,"Step 6 validated read-outs are never defined or described in this chapter, so a decision-maker cannot act on this condition; the editor should add context or remove the condition.",model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
16,contradiction,low,Chapter 16 is assembled only from recorded decisions and engine facts.,"The chapter then includes user-uploaded strategic-foresight material and external comparator summaries, which are neither recorded decisions nor engine facts, so 'only' overstates the provenance; change to reflect all source types.",model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
17,ambiguity,low,"The model records **49 named gaps**, **5 stale indicators**, **9 validated items**, and **0 explicit data gaps**.","The phrase ""0 explicit data gaps"" appears next to 49 named gaps and 0% C0 coverage without defining the distinction, which could mislead; define or remove it.",model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
2,ambiguity,low,C0 Agricultural context & need | Not rated | 0% (0/8) | Not rated | 1,"The row reports 0/8 coverage while also listing a stale reading, and Section 2.4 records four observed context values, so it is unclear what 'coverage' counts; editor should define the metric or reconcile the row.",model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
2,contradiction,low,The food production index is flagged STALE because the recorded observation year is 2022.,"The chapter flags a 2022 observation as STALE, but older 2020/2021 GeoPoll figures in Section 2.5 are not flagged, making the staleness rule appear inconsistent; editor should define and apply a consistent age threshold.",model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
3,ambiguity,low,CMS (capability): Not rated — coverage 61%. Suppressed: A member pillar is not rated.,"The suppression reason does not name the failing pillar, though the pillar profile later shows C3 as not rated; the editor should specify the pillar to avoid forcing readers to infer it.",model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
4,ambiguity,low,Model prose rejected — stage assertions the evidence does not license: are leading.,The sentence fragment after the colon is ungrammatical and could confuse readers about why the prose was rejected; the editor should rewrite it to state clearly that the rejected prose contained leading assertions unsupported by evidence.,model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
6,ambiguity,low,"Evidence plan: route unmeasured core gates to ITU/GSMA, MALR, NTRA/MCIT.","The assessment status table reports Core gates unmeasured 0, so the editor should clarify whether this Step 4 plan was fully executed or whether unmeasured core gates remained.",model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
8,ambiguity,low,Model prose rejected — stage assertions the evidence does not license: are leading,The final phrase is ungrammatical and its intended meaning is unclear; the editor should rewrite or delete the bracketed rejection note.,model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
9,ambiguity,low,"Agricultural context and need has 0% coverage; Responsible AI and emerging tech has 25%; Inclusion, sustainability and outcomes has 33%.","This list of coverage gaps omits C3 Policy, governance & safeguards and E1 Innovation & private sector, which Table 9.2 also shows as not rated at 46% coverage; the editor should account for all unrated pillars or mark the list as illustrative.",model,Tue Aug 18 2026 23:02:01 GMT+0700 (Indochina Time)
