indicator_id,name,pillar_id,pillar_name,role,core_gate,kind,method,disaggregation,max_age,preferred_years,definition,national_first,international_fallback,steward,app_fetch_kind,app_series,app_mapped_source,app_mapped_url,app_proxy,app_proxy_note,app_status,app_value,app_year,app_source_name,app_source_url,app_grade,app_score_100,perplexity_value,perplexity_year,perplexity_source,perplexity_url,perplexity_direct_or_proxy,perplexity_notes,same_as_app,perplexity_prompt
2.2,Rural population covered by at least 4G (%),C1,Connectivity & affordable access,Capability,no,quantitative,Quantitative threshold,rural,3,2023–2026,Rural population covered by at least 4G (%). Method: Quantitative threshold.,National statistical office series that matches the international definition,World Bank / UN / ITU official statistical system,Statistics office / international statistical system,data360,MOB_COV_4G,"ITU DataHub — population covered by at least 4G (national, via World Bank Data360)",https://data360.worldbank.org/en/dataset/ITU_DH,yes,Proxy: national 4G population coverage. DAMM asks for rural coverage. Replace with a rural-filtered ITU/GSMA reading when the regulator publishes one.,proxy,98,2024,"ITU DataHub — population covered by at least 4G (national, via World Bank Data360)",https://data360.worldbank.org/en/dataset/ITU_DH,B,73,,,,,,,,"Egypt — 2.2 Rural population covered by at least 4G (%). Definition: Rural population covered by at least 4G (%). Method: Quantitative threshold. Required cut: rural. Preferred years 2023–2026. Try national first (National statistical office series that matches the international definition), then World Bank / UN / ITU official statistical system. Return only: value, unit, observation year, source organisation, exact publication title, URL, and whether the series is DIRECT or PROXY for this definition. If you cannot find a cited official figure, say MISSING and name the steward who should hold it. Do not invent a number."
2.3,Active mobile broadband subscriptions per 100 inhabitants,C1,Connectivity & affordable access,Capability,no,quantitative,Quantitative threshold,national,3,2023–2026,Active mobile broadband subscriptions per 100 inhabitants. Method: Quantitative threshold.,National statistical office series that matches the international definition,World Bank / UN / ITU official statistical system,Statistics office / international statistical system,data360,ACT_MOB_SB,ITU DataHub — active mobile-broadband subscriptions per 100 inhabitants (via World Bank Data360),https://data360.worldbank.org/en/dataset/ITU_DH,no,,direct,72.28,2024,ITU DataHub — active mobile-broadband subscriptions per 100 inhabitants (via World Bank Data360),https://data360.worldbank.org/en/dataset/ITU_DH,A,96,,,,,,,,"Egypt — 2.3 Active mobile broadband subscriptions per 100 inhabitants. Definition: Active mobile broadband subscriptions per 100 inhabitants. Method: Quantitative threshold. Required cut: national. Preferred years 2023–2026. Try national first (National statistical office series that matches the international definition), then World Bank / UN / ITU official statistical system. Return only: value, unit, observation year, source organisation, exact publication title, URL, and whether the series is DIRECT or PROXY for this definition. If you cannot find a cited official figure, say MISSING and name the steward who should hold it. Do not invent a number."
2.4,Individuals using the Internet (% of population),C1,Connectivity & affordable access,Capability,no,quantitative,Quantitative threshold,national,3,2023–2026,Individuals using the Internet (% of population). Method: Quantitative threshold.,National statistical office series that matches the international definition,World Bank / UN / ITU official statistical system,Statistics office / international statistical system,worldbank,IT.NET.USER.ZS,World Bank WDI / ITU,https://data.worldbank.org/indicator/IT.NET.USER.ZS,no,,direct,74.65,2024,World Bank WDI / ITU,https://data.worldbank.org/indicator/IT.NET.USER.ZS,A,96,,,,,,,,"Egypt — 2.4 Individuals using the Internet (% of population). Definition: Individuals using the Internet (% of population). Method: Quantitative threshold. Required cut: national. Preferred years 2023–2026. Try national first (National statistical office series that matches the international definition), then World Bank / UN / ITU official statistical system. Return only: value, unit, observation year, source organisation, exact publication title, URL, and whether the series is DIRECT or PROXY for this definition. If you cannot find a cited official figure, say MISSING and name the steward who should hold it. Do not invent a number."
2.5,Mobile broadband basket price (% GNI per capita),C1,Connectivity & affordable access,Capability,yes,quantitative,Quantitative threshold,national,3,2023–2026,Price of a mobile-broadband basket as a percentage of GNI per capita. Lower is better.,National regulator published tariff basket / NSO ICT prices,ITU ICT price basket via World Bank Data360,Telecom regulator / ITU,data360,PRI_DO_MOB,"ITU ICT Price Basket — data-only mobile-broadband (% of GNI per capita, via World Bank Data360)",https://data360.worldbank.org/en/dataset/ITU_DH,no,,direct,1.58,2025,"ITU ICT Price Basket — data-only mobile-broadband (% of GNI per capita, via World Bank Data360)",https://data360.worldbank.org/en/dataset/ITU_DH,A,96,,,,,,,,"Egypt — 2.5 Mobile broadband basket price (% GNI per capita). Definition: Price of a mobile-broadband basket as a percentage of GNI per capita. Lower is better. Required cut: national. Preferred years 2023–2026. Try national first (National regulator published tariff basket / NSO ICT prices), then ITU ICT price basket via World Bank Data360. Return only: value, unit, observation year, source organisation, exact publication title, URL, and whether the series is DIRECT or PROXY for this definition. If you cannot find a cited official figure, say MISSING and name the steward who should hold it. Do not invent a number."
2.6,Adults with mobile phone (% age 15+),C1,Connectivity & affordable access,Capability,no,quantitative,Quantitative threshold,national,3,2023–2026,Adults with mobile phone (% age 15+). Method: Quantitative threshold.,National statistical office series that matches the international definition,World Bank / UN / ITU official statistical system,Statistics office / international statistical system,named-gap,,Global Findex / GSMA,https://www.worldbank.org/en/publication/globalfindex,no,Adults with a mobile phone. Findex Digital Connectivity Tracker or GSMA Intelligence — no stable public series code yet.,missing,,,,,E,0,,,,,,,,"Egypt — 2.6 Adults with mobile phone (% age 15+). Definition: Adults with mobile phone (% age 15+). Method: Quantitative threshold. Required cut: national. Preferred years 2023–2026. Try national first (National statistical office series that matches the international definition), then World Bank / UN / ITU official statistical system. Return only: value, unit, observation year, source organisation, exact publication title, URL, and whether the series is DIRECT or PROXY for this definition. If you cannot find a cited official figure, say MISSING and name the steward who should hold it. Do not invent a number."
2.7,Smartphone ownership among rural/agricultural population (%),C1,Connectivity & affordable access,Capability,no,quantitative,Quantitative threshold,rural-agricultural,2,2024–2026,Smartphone ownership among rural/agricultural population (%). Method: Quantitative threshold.,National statistical office or line ministry publication,World Bank / UN / ITU official statistical system,Line ministry / statistics office,named-gap,,Rural household / farmer survey,,no,Smartphone ownership among the rural/agricultural population is local.,missing,,,,,E,0,,,,,,,,"Egypt — 2.7 Smartphone ownership among rural/agricultural population (%). Definition: Smartphone ownership among rural/agricultural population (%). Method: Quantitative threshold. Required cut: rural-agricultural. Preferred years 2024–2026. Try national first (National statistical office or line ministry publication), then World Bank / UN / ITU official statistical system. Return only: value, unit, observation year, source organisation, exact publication title, URL, and whether the series is DIRECT or PROXY for this definition. If you cannot find a cited official figure, say MISSING and name the steward who should hold it. Do not invent a number."
2.8,Average mobile data cost in rural areas (USD per GB),C1,Connectivity & affordable access,Capability,no,quantitative,Quantitative threshold,rural,2,2024–2026,Average mobile data cost in rural areas (USD per GB). Method: Quantitative threshold.,National statistical office or line ministry publication,World Bank / UN / ITU official statistical system,Line ministry / statistics office,named-gap,,Rural tariff survey,,no,USD per GB in rural areas. Regulator or GSMA pricing.,missing,,,,,E,0,,,,,,,,"Egypt — 2.8 Average mobile data cost in rural areas (USD per GB). Definition: Average mobile data cost in rural areas (USD per GB). Method: Quantitative threshold. Required cut: rural. Preferred years 2024–2026. Try national first (National statistical office or line ministry publication), then World Bank / UN / ITU official statistical system. Return only: value, unit, observation year, source organisation, exact publication title, URL, and whether the series is DIRECT or PROXY for this definition. If you cannot find a cited official figure, say MISSING and name the steward who should hold it. Do not invent a number."
2.9,Electricity access in rural areas (%),C1,Connectivity & affordable access,Capability,yes,quantitative,Quantitative threshold,rural,2,2024–2026,Share of the rural population with access to electricity.,National statistical office / energy ministry rural access table,World Bank WDI EG.ELC.ACCS.RU.ZS,Statistics office / energy ministry,worldbank,EG.ELC.ACCS.RU.ZS,World Bank WDI,https://data.worldbank.org/indicator/EG.ELC.ACCS.RU.ZS,no,,direct,100,2024,World Bank WDI,https://data.worldbank.org/indicator/EG.ELC.ACCS.RU.ZS,A,96,,,,,,,,"Egypt — 2.9 Electricity access in rural areas (%). Definition: Share of the rural population with access to electricity. Required cut: rural. Preferred years 2024–2026. Try national first (National statistical office / energy ministry rural access table), then World Bank WDI EG.ELC.ACCS.RU.ZS. Return only: value, unit, observation year, source organisation, exact publication title, URL, and whether the series is DIRECT or PROXY for this definition. If you cannot find a cited official figure, say MISSING and name the steward who should hold it. Do not invent a number."
2.10,Average download speed in agricultural areas (Mbps),C1,Connectivity & affordable access,Capability,no,quantitative,Quantitative threshold,agricultural,2,2024–2026,Average download speed in agricultural areas (Mbps). Method: Quantitative threshold.,National statistical office or line ministry publication,World Bank / UN / ITU official statistical system,Line ministry / statistics office,named-gap,,Ookla / national QoS,,no,"Average download speed in agricultural areas. National QoS or crowd-sourced speed tests, rural filter.",missing,,,,,E,0,,,,,,,,"Egypt — 2.10 Average download speed in agricultural areas (Mbps). Definition: Average download speed in agricultural areas (Mbps). Method: Quantitative threshold. Required cut: agricultural. Preferred years 2024–2026. Try national first (National statistical office or line ministry publication), then World Bank / UN / ITU official statistical system. Return only: value, unit, observation year, source organisation, exact publication title, URL, and whether the series is DIRECT or PROXY for this definition. If you cannot find a cited official figure, say MISSING and name the steward who should hold it. Do not invent a number."
2.11,Device financing/subsidy schemes for farmers,C1,Connectivity & affordable access,Capability,no,rubric,Anchored capability rubric,agricultural,2,2024–2026,Device financing/subsidy schemes for farmers. Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,named-gap,,Device-financing programme files,,no,Anchored rubric — panel scoring.,missing,,,,,E,0,,,,,,,,"Egypt — 2.11 Device financing/subsidy schemes for farmers. Definition: Device financing/subsidy schemes for farmers. Method: Anchored capability rubric. Required cut: agricultural. Preferred years 2024–2026. Try national first (National statistical office or line ministry publication), then No international substitute — documentary lead only. Return only: value, unit, observation year, source organisation, exact publication title, URL, and whether the series is DIRECT or PROXY for this definition. If you cannot find a cited official figure, say MISSING and name the steward who should hold it. Do not invent a number."
3.1,UN E-Government Development Index (EGDI),C2,Data infrastructure & DPI,Capability,no,quantitative,Quantitative threshold,national,3,2023–2026,UN E-Government Development Index (EGDI). Method: Quantitative threshold.,National statistical office series that matches the international definition,World Bank / UN / ITU official statistical system,Statistics office / international statistical system,data360,UN_EGDI_EGDI,UN DESA E-Government Development Index (via World Bank Data360),https://data360.worldbank.org/en/dataset/UN_EGDI,no,,direct,0.67,2024,UN DESA E-Government Development Index (via World Bank Data360),https://data360.worldbank.org/en/dataset/UN_EGDI,A,96,,,,,,,,"Egypt — 3.1 UN E-Government Development Index (EGDI). Definition: UN E-Government Development Index (EGDI). Method: Quantitative threshold. Required cut: national. Preferred years 2023–2026. Try national first (National statistical office series that matches the international definition), then World Bank / UN / ITU official statistical system. Return only: value, unit, observation year, source organisation, exact publication title, URL, and whether the series is DIRECT or PROXY for this definition. If you cannot find a cited official figure, say MISSING and name the steward who should hold it. Do not invent a number."
3.2,Open Data Inventory (ODIN) score,C2,Data infrastructure & DPI,Capability,no,quantitative,Quantitative threshold,national,3,2023–2026,Open Data Inventory (ODIN) score. Method: Quantitative threshold.,National statistical office series that matches the international definition,World Bank / UN / ITU official statistical system,Statistics office / international statistical system,named-gap,,Open Data Watch ODIN,https://odin.opendatawatch.com/,no,ODIN score is published by Open Data Watch. No stable public API series yet.,missing,,,,,E,0,,,,,,,,"Egypt — 3.2 Open Data Inventory (ODIN) score. Definition: Open Data Inventory (ODIN) score. Method: Quantitative threshold. Required cut: national. Preferred years 2023–2026. Try national first (National statistical office series that matches the international definition), then World Bank / UN / ITU official statistical system. Return only: value, unit, observation year, source organisation, exact publication title, URL, and whether the series is DIRECT or PROXY for this definition. If you cannot find a cited official figure, say MISSING and name the steward who should hold it. Do not invent a number."
3.3,National farmer registry/database,C2,Data infrastructure & DPI,Capability,yes,rubric,Anchored capability rubric,agricultural,2,2024–2026,Existence and operational use of a national farmer registry or equivalent producer database.,"Ministry of agriculture farmer-registry decree, coverage report or census frame",No international substitute. Documentary lead only.,Ministry of Agriculture,named-gap,,Farmer registry documentation,,no,Core gate. Anchored rubric — panel scoring.,missing,,,,,E,0,,,,,,,,"Egypt — 3.3 National farmer registry/database. Definition: Existence and operational use of a national farmer registry or equivalent producer database. Required cut: agricultural. Preferred years 2024–2026. Try national first (Ministry of agriculture farmer-registry decree, coverage report or census frame), then No international substitute. Documentary lead only.. Return only: value, unit, observation year, source organisation, exact publication title, URL, and whether the series is DIRECT or PROXY for this definition. If you cannot find a cited official figure, say MISSING and name the steward who should hold it. Do not invent a number."
3.4,Digital land/plot registration system,C2,Data infrastructure & DPI,Capability,no,rubric,Anchored capability rubric,national,2,2024–2026,Digital land/plot registration system. Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,named-gap,,Land administration system,,no,Anchored rubric — panel scoring.,missing,,,,,E,0,,,,,,,,"Egypt — 3.4 Digital land/plot registration system. Definition: Digital land/plot registration system. Method: Anchored capability rubric. Required cut: national. Preferred years 2024–2026. Try national first (National statistical office or line ministry publication), then No international substitute — documentary lead only. Return only: value, unit, observation year, source organisation, exact publication title, URL, and whether the series is DIRECT or PROXY for this definition. If you cannot find a cited official figure, say MISSING and name the steward who should hold it. Do not invent a number."
3.5,National agricultural data portal / open data,C2,Data infrastructure & DPI,Capability,no,rubric,Anchored capability rubric,agricultural,2,2024–2026,National agricultural data portal / open data. Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,named-gap,,National agricultural data portal,,no,Anchored rubric — panel scoring.,missing,,,,,E,0,,,,,,,,"Egypt — 3.5 National agricultural data portal / open data. Definition: National agricultural data portal / open data. Method: Anchored capability rubric. Required cut: agricultural. Preferred years 2024–2026. Try national first (National statistical office or line ministry publication), then No international substitute — documentary lead only. Return only: value, unit, observation year, source organisation, exact publication title, URL, and whether the series is DIRECT or PROXY for this definition. If you cannot find a cited official figure, say MISSING and name the steward who should hold it. Do not invent a number."
3.6,Weather/climate data infrastructure for agriculture,C2,Data infrastructure & DPI,Capability,no,rubric,Anchored capability rubric,agricultural,2,2024–2026,Weather/climate data infrastructure for agriculture. Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,named-gap,,Hydromet / agriculture MoU and advisory logs,,no,Anchored rubric — climate-services chain.,missing,,,,,E,0,,,,,,,,"Egypt — 3.6 Weather/climate data infrastructure for agriculture. Definition: Weather/climate data infrastructure for agriculture. Method: Anchored capability rubric. Required cut: agricultural. Preferred years 2024–2026. Try national first (National statistical office or line ministry publication), then No international substitute — documentary lead only. Return only: value, unit, observation year, source organisation, exact publication title, URL, and whether the series is DIRECT or PROXY for this definition. If you cannot find a cited official figure, say MISSING and name the steward who should hold it. Do not invent a number."
3.7,Satellite/earth observation data integration capability,C2,Data infrastructure & DPI,Capability,no,rubric,Anchored capability rubric,national,2,2024–2026,Satellite/earth observation data integration capability. Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,named-gap,,EO programme files,,no,Anchored rubric — panel scoring.,missing,,,,,E,0,,,,,,,,"Egypt — 3.7 Satellite/earth observation data integration capability. Definition: Satellite/earth observation data integration capability. Method: Anchored capability rubric. Required cut: national. Preferred years 2024–2026. Try national first (National statistical office or line ministry publication), then No international substitute — documentary lead only. Return only: value, unit, observation year, source organisation, exact publication title, URL, and whether the series is DIRECT or PROXY for this definition. If you cannot find a cited official figure, say MISSING and name the steward who should hold it. Do not invent a number."
3.8,National soil map/database (digital),C2,Data infrastructure & DPI,Capability,no,rubric,Anchored capability rubric,national,2,2024–2026,National soil map/database (digital). Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,named-gap,,National soil information system,,no,Anchored rubric — panel scoring.,missing,,,,,E,0,,,,,,,,"Egypt — 3.8 National soil map/database (digital). Definition: National soil map/database (digital). Method: Anchored capability rubric. Required cut: national. Preferred years 2024–2026. Try national first (National statistical office or line ministry publication), then No international substitute — documentary lead only. Return only: value, unit, observation year, source organisation, exact publication title, URL, and whether the series is DIRECT or PROXY for this definition. If you cannot find a cited official figure, say MISSING and name the steward who should hold it. Do not invent a number."
3.9,"Digital advisory platforms reaching >10,000 users",C2,Data infrastructure & DPI,Capability,no,quantitative,Quantitative threshold,national,2,2024–2026,"Digital advisory platforms reaching >10,000 users. Method: Quantitative threshold.",National statistical office or line ministry publication,World Bank / UN / ITU official statistical system,Line ministry / statistics office,named-gap,,Advisory platform user statistics,,no,Share of platforms / reach metric as defined in the workbook.,missing,,,,,E,0,,,,,,,,"Egypt — 3.9 Digital advisory platforms reaching >10,000 users. Definition: Digital advisory platforms reaching >10,000 users. Method: Quantitative threshold. Required cut: national. Preferred years 2024–2026. Try national first (National statistical office or line ministry publication), then World Bank / UN / ITU official statistical system. Return only: value, unit, observation year, source organisation, exact publication title, URL, and whether the series is DIRECT or PROXY for this definition. If you cannot find a cited official figure, say MISSING and name the steward who should hold it. Do not invent a number."
3.10,"Digital agricultural market/e-commerce platforms (>5,000 active users)",C2,Data infrastructure & DPI,Capability,no,rubric,Anchored capability rubric,agricultural,2,2024–2026,"Digital agricultural market/e-commerce platforms (>5,000 active users). Method: Anchored capability rubric.",National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,named-gap,,Market-platform documentation,,no,Anchored rubric — panel scoring.,missing,,,,,E,0,,,,,,,,"Egypt — 3.10 Digital agricultural market/e-commerce platforms (>5,000 active users). Definition: Digital agricultural market/e-commerce platforms (>5,000 active users). Method: Anchored capability rubric. Required cut: agricultural. Preferred years 2024–2026. Try national first (National statistical office or line ministry publication), then No international substitute — documentary lead only. Return only: value, unit, observation year, source organisation, exact publication title, URL, and whether the series is DIRECT or PROXY for this definition. If you cannot find a cited official figure, say MISSING and name the steward who should hold it. Do not invent a number."
3.11,Interoperability standards for agricultural data,C2,Data infrastructure & DPI,Capability,yes,rubric,Anchored capability rubric,agricultural,2,2024–2026,Published interoperability standards or a data-exchange framework for agricultural data.,Agriculture ministry / digital authority interoperability notice or API standard,No scored international substitute. Documentary lead only.,Digital authority / Ministry of Agriculture,named-gap,,Interoperability standard / gazette,,no,Core gate. Anchored rubric — panel scoring.,missing,,,,,E,0,,,,,,,,"Egypt — 3.11 Interoperability standards for agricultural data. Definition: Published interoperability standards or a data-exchange framework for agricultural data. Required cut: agricultural. Preferred years 2024–2026. Try national first (Agriculture ministry / digital authority interoperability notice or API standard), then No scored international substitute. Documentary lead only.. Return only: value, unit, observation year, source organisation, exact publication title, URL, and whether the series is DIRECT or PROXY for this definition. If you cannot find a cited official figure, say MISSING and name the steward who should hold it. Do not invent a number."
