row,country,iso3,indicator_id,indicator_name,pillar_id,pillar_name,role,core_gate,indicator_type,required_cut,preferred_years,definition,national_source_to_try_first,international_fallback,steward,app_mapped_series,app_captured_for_egypt,egypt_value_in_app,egypt_year_in_app,egypt_source_in_app,egypt_source_url_in_app,egypt_grade_in_app,egypt_direct_or_proxy
31,Egypt,EGY,3.11,Interoperability standards for agricultural data,C2,Data infrastructure & DPI,Capability,YES,core-gate-rubric,agricultural,2024-2026,Published interoperability standards or a data-exchange framework for agricultural data.,Agriculture ministry / digital authority interoperability notice or API standard,No scored international substitute. Documentary lead only.,Digital authority / Ministry of Agriculture,,NO,,,,,missing,missing
32,Egypt,EGY,3.12,AI-ready agricultural datasets,C2,Data infrastructure & DPI,Capability,no,rubric,agricultural,2024-2026,AI-ready agricultural datasets. Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
33,Egypt,EGY,4.1,Data protection/privacy law,C3,"Policy, governance & safeguards",Capability,YES,core-gate-rubric,national,2023-2026,"A data-protection or privacy law that is in force and applies to personal data, including farmer data.",Official gazette / data-protection authority,UNCTAD data-protection law listing (presence only),Data-protection authority,,NO,,,,,missing,missing
34,Egypt,EGY,4.2,Cybersecurity legal framework (ITU GCI),C3,"Policy, governance & safeguards",Capability,YES,core-gate-quantitative,national,2023-2026,"Strength of the national cybersecurity legal and institutional framework, as scored by the ITU Global Cybersecurity Index.","National cybersecurity agency published GCI self-assessment, if any",ITU Global Cybersecurity Index via World Bank Data360,Cybersecurity agency / ITU,ITU_GCI_GCI_OVRL_SCRE,YES,1,2024,ITU Global Cybersecurity Index overall score (via World Bank Data360),https://data360.worldbank.org/en/dataset/ITU_GCI,A 96,direct
35,Egypt,EGY,4.3,Government AI Readiness Index,C3,"Policy, governance & safeguards",Capability,no,quantitative,national,2023-2026,Government AI Readiness Index. Method: Quantitative threshold.,National statistical office series that matches the international definition,World Bank / UN / ITU official statistical system,Statistics office / international statistical system,,NO,,,,,missing,missing
36,Egypt,EGY,4.4,National digital agriculture strategy,C3,"Policy, governance & safeguards",Capability,no,rubric,agricultural,2024-2026,National digital agriculture strategy. Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
37,Egypt,EGY,4.5,Agricultural data governance framework,C3,"Policy, governance & safeguards",Capability,YES,core-gate-rubric,agricultural,2024-2026,"A documented agricultural data-governance framework (roles, access, sharing, stewardship).",Ministry of agriculture or statistics office data-governance circular,No scored international substitute.,Ministry of Agriculture / statistics office,,NO,,,,,missing,missing
38,Egypt,EGY,4.6,National AI strategy with agriculture component,C3,"Policy, governance & safeguards",Capability,no,rubric,agricultural,2024-2026,National AI strategy with agriculture component. Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
39,Egypt,EGY,4.7,Digital ID system coverage (% of population),C3,"Policy, governance & safeguards",Capability,no,quantitative,national,2024-2026,Digital ID system coverage (% of population). Method: Quantitative threshold.,National statistical office or line ministry publication,World Bank / UN / ITU official statistical system,Line ministry / statistics office,E_ID,NO,,,,,missing,missing
40,Egypt,EGY,4.8,Data sovereignty provisions for agricultural data,C3,"Policy, governance & safeguards",Capability,no,rubric,agricultural,2024-2026,Data sovereignty provisions for agricultural data. Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
41,Egypt,EGY,4.9,Inter-ministerial coordination mechanism for digital agriculture,C3,"Policy, governance & safeguards",Capability,YES,core-gate-rubric,agricultural,2024-2026,A standing inter-ministerial coordination mechanism whose mandate includes digital agriculture.,"Cabinet decree, ToR or minutes of the digital-agriculture steering body",No scored international substitute.,Cabinet / digital authority,,NO,,,,,missing,missing
42,Egypt,EGY,4.10,Competition/antitrust framework for digital agricultural markets,C3,"Policy, governance & safeguards",Capability,no,rubric,agricultural,2024-2026,Competition/antitrust framework for digital agricultural markets. Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
43,Egypt,EGY,4.11,Public procurement rules enabling digital agriculture innovation,C3,"Policy, governance & safeguards",Capability,no,rubric,agricultural,2024-2026,Public procurement rules enabling digital agriculture innovation. Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
44,Egypt,EGY,4.12,Spectrum allocation for rural/agricultural IoT,C3,"Policy, governance & safeguards",Capability,no,rubric,rural-agricultural,2024-2026,Spectrum allocation for rural/agricultural IoT. Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
45,Egypt,EGY,4.13,Responsible AI principles/guidelines for agriculture,C3,"Policy, governance & safeguards",Capability,no,rubric,agricultural,2024-2026,Responsible AI principles/guidelines for agriculture. Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
46,Egypt,EGY,5.1,Mean years of schooling (adults 25+),C4,Human & institutional capacity,Capability,no,quantitative,national,2023-2026,Mean years of schooling (adults 25+). Method: Quantitative threshold.,National statistical office series that matches the international definition,World Bank / UN / ITU official statistical system,Statistics office / international statistical system,BAR.SCHL.15UP,YES,7.15,2010,World Bank Education Statistics — Barro-Lee average years of schooling (age 15+),https://data.worldbank.org/indicator/BAR.SCHL.15UP,C 63,proxy
47,Egypt,EGY,5.2,Adult literacy rate (% age 15+),C4,Human & institutional capacity,Capability,no,quantitative,national,2023-2026,Adult literacy rate (% age 15+). Method: Quantitative threshold.,National statistical office series that matches the international definition,World Bank / UN / ITU official statistical system,Statistics office / international statistical system,SE.ADT.LITR.ZS,YES,79.45,2022,World Bank WDI / UNESCO UIS,https://data.worldbank.org/indicator/SE.ADT.LITR.ZS,A 86,direct
48,Egypt,EGY,5.3,Tertiary enrollment in STEM fields (% gross),C4,Human & institutional capacity,Capability,no,quantitative,national,2023-2026,Tertiary enrollment in STEM fields (% gross). Method: Quantitative threshold.,National statistical office series that matches the international definition,World Bank / UN / ITU official statistical system,Statistics office / international statistical system,UNESCO_UIS_GRAD_STEM,YES,18.58,2023,UNESCO UIS — STEM share of tertiary graduates (via World Bank Data360),https://data360.worldbank.org/en/dataset/UNESCO_UIS,B 83,proxy
49,Egypt,EGY,5.4,Digital literacy among farmers (%),C4,Human & institutional capacity,Capability,no,quantitative,agricultural,2024-2026,Digital literacy among farmers (%). Method: Quantitative threshold.,National statistical office or line ministry publication,World Bank / UN / ITU official statistical system,Line ministry / statistics office,,NO,,,,,missing,missing
50,Egypt,EGY,5.5,Extension workers trained in digital tools (%),C4,Human & institutional capacity,Capability,YES,core-gate-quantitative,agricultural,2024-2026,"Share of public extension workers who have received training in digital tools, in the last max-age window.",Ministry of agriculture extension directorate training returns,No comparable global series. FAO / GFRAS notes are leads only.,Ministry of Agriculture extension directorate,,NO,,,,,missing,missing
51,Egypt,EGY,5.6,Farmer-to-digital-extension-worker ratio,C4,Human & institutional capacity,Capability,no,rubric,agricultural,2024-2026,Farmer-to-digital-extension-worker ratio. Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
52,Egypt,EGY,5.7,Dedicated digital/AI units in Ministry of Agriculture,C4,Human & institutional capacity,Capability,YES,core-gate-rubric,agricultural,2024-2026,A dedicated digital or AI unit inside the ministry of agriculture (or a formally mandated equivalent).,"Ministerial organogram, establishment circular or budget line",No scored international substitute.,Ministry of Agriculture,,NO,,,,,missing,missing
53,Egypt,EGY,5.8,University programs in agtech/digital agriculture,C4,Human & institutional capacity,Capability,no,rubric,agricultural,2024-2026,University programs in agtech/digital agriculture. Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
54,Egypt,EGY,5.9,Data science/AI training programs for agriculture,C4,Human & institutional capacity,Capability,no,rubric,agricultural,2024-2026,Data science/AI training programs for agriculture. Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
55,Egypt,EGY,5.10,Digital skills training reach (% of farmer population per year),C4,Human & institutional capacity,Capability,no,quantitative,agricultural,2024-2026,Digital skills training reach (% of farmer population per year). Method: Quantitative threshold.,National statistical office or line ministry publication,World Bank / UN / ITU official statistical system,Line ministry / statistics office,,NO,,,,,missing,missing
56,Egypt,EGY,5.11,Institutional digital maturity of key agricultural agencies,C4,Human & institutional capacity,Capability,no,rubric,agricultural,2024-2026,Institutional digital maturity of key agricultural agencies. Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
57,Egypt,EGY,5.12,Gender balance in digital agriculture workforce,C4,Human & institutional capacity,Capability,no,quantitative,agricultural,2024-2026,Gender balance in digital agriculture workforce. Method: Quantitative threshold.,National statistical office or line ministry publication,World Bank / UN / ITU official statistical system,Line ministry / statistics office,,NO,,,,,missing,missing
58,Egypt,EGY,6.1,Global Innovation Index (GII) score,E1,Innovation & private sector,Ecosystem,no,quantitative,national,2023-2026,Global Innovation Index (GII) score. Method: Quantitative threshold.,National statistical office series that matches the international definition,World Bank / UN / ITU official statistical system,Statistics office / international statistical system,,NO,,,,,missing,missing
59,Egypt,EGY,6.2,R&D expenditure (% of GDP),E1,Innovation & private sector,Ecosystem,no,quantitative,national,2023-2026,R&D expenditure (% of GDP). Method: Quantitative threshold.,National statistical office series that matches the international definition,World Bank / UN / ITU official statistical system,Statistics office / international statistical system,GB.XPD.RSDV.GD.ZS,YES,1.02,2024,World Bank WDI / UNESCO,https://data.worldbank.org/indicator/GB.XPD.RSDV.GD.ZS,A 96,direct
60,Egypt,EGY,6.3,Business Ready (B-READY) score,E1,Innovation & private sector,Ecosystem,no,quantitative,national,2023-2026,Business Ready (B-READY) score. Method: Quantitative threshold.,National statistical office series that matches the international definition,World Bank / UN / ITU official statistical system,Statistics office / international statistical system,,NO,,,,,missing,missing
61,Egypt,EGY,6.4,Active agtech startups/firms,E1,Innovation & private sector,Ecosystem,no,rubric,national,2024-2026,Active agtech startups/firms. Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
62,Egypt,EGY,6.5,Venture capital/investment in agtech (annual USD),E1,Innovation & private sector,Ecosystem,no,rubric,national,2024-2026,Venture capital/investment in agtech (annual USD). Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
63,Egypt,EGY,6.6,Agtech accelerators/incubators,E1,Innovation & private sector,Ecosystem,no,rubric,national,2024-2026,Agtech accelerators/incubators. Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
64,Egypt,EGY,6.7,Agribusiness firms using AI/ML in operations (%),E1,Innovation & private sector,Ecosystem,no,quantitative,national,2024-2026,Agribusiness firms using AI/ML in operations (%). Method: Quantitative threshold.,National statistical office or line ministry publication,World Bank / UN / ITU official statistical system,Line ministry / statistics office,,NO,,,,,missing,missing
65,Egypt,EGY,6.8,Regulatory sandboxes for agtech/fintech,E1,Innovation & private sector,Ecosystem,no,rubric,national,2024-2026,Regulatory sandboxes for agtech/fintech. Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
66,Egypt,EGY,6.9,Public-private partnerships in digital agriculture,E1,Innovation & private sector,Ecosystem,no,rubric,agricultural,2024-2026,Public-private partnerships in digital agriculture. Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
67,Egypt,EGY,6.10,Government grants/funding for agtech innovation (annual USD),E1,Innovation & private sector,Ecosystem,no,rubric,national,2024-2026,Government grants/funding for agtech innovation (annual USD). Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
68,Egypt,EGY,6.11,Digital financial services platforms for agriculture,E1,Innovation & private sector,Ecosystem,no,rubric,agricultural,2024-2026,Digital financial services platforms for agriculture. Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
69,Egypt,EGY,6.12,Digital public goods adopted in agriculture,E1,Innovation & private sector,Ecosystem,no,rubric,agricultural,2024-2026,Digital public goods adopted in agriculture. Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
70,Egypt,EGY,6.13,SME access to digital agriculture tools/platforms (%),E1,Innovation & private sector,Ecosystem,no,quantitative,agricultural,2024-2026,SME access to digital agriculture tools/platforms (%). Method: Quantitative threshold.,National statistical office or line ministry publication,World Bank / UN / ITU official statistical system,Line ministry / statistics office,,NO,,,,,missing,missing
71,Egypt,EGY,7.1,AI-related scientific publications per million population,E2,Responsible AI & emerging tech,Ecosystem,no,quantitative,national,2023-2026,AI-related scientific publications per million population. Method: Quantitative threshold.,National statistical office series that matches the international definition,World Bank / UN / ITU official statistical system,Statistics office / international statistical system,,NO,,,,,missing,missing
72,Egypt,EGY,7.2,AI systems deployed in public agricultural sector,E2,Responsible AI & emerging tech,Ecosystem,no,rubric,agricultural,2024-2026,AI systems deployed in public agricultural sector. Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
73,Egypt,EGY,7.3,AI-enabled advisory services (farmer reach %),E2,Responsible AI & emerging tech,Ecosystem,no,quantitative,agricultural,2024-2026,AI-enabled advisory services (farmer reach %). Method: Quantitative threshold.,National statistical office or line ministry publication,World Bank / UN / ITU official statistical system,Line ministry / statistics office,,NO,,,,,missing,missing
74,Egypt,EGY,7.4,AI for crop/pest/disease detection and monitoring,E2,Responsible AI & emerging tech,Ecosystem,no,quantitative,national,2024-2026,AI for crop/pest/disease detection and monitoring. Method: Quantitative threshold.,National statistical office or line ministry publication,World Bank / UN / ITU official statistical system,Line ministry / statistics office,,NO,,,,,missing,missing
75,Egypt,EGY,7.5,"AI in agricultural finance (credit scoring, insurance)",E2,Responsible AI & emerging tech,Ecosystem,no,quantitative,agricultural,2024-2026,"AI in agricultural finance (credit scoring, insurance). Method: Quantitative threshold.",National statistical office or line ministry publication,World Bank / UN / ITU official statistical system,Line ministry / statistics office,,NO,,,,,missing,missing
76,Egypt,EGY,7.6,AI for supply chain optimization and traceability,E2,Responsible AI & emerging tech,Ecosystem,no,quantitative,national,2024-2026,AI for supply chain optimization and traceability. Method: Quantitative threshold.,National statistical office or line ministry publication,World Bank / UN / ITU official statistical system,Line ministry / statistics office,,NO,,,,,missing,missing
77,Egypt,EGY,7.7,AI for climate forecasting and agricultural risk management,E2,Responsible AI & emerging tech,Ecosystem,no,quantitative,agricultural,2024-2026,AI for climate forecasting and agricultural risk management. Method: Quantitative threshold.,National statistical office or line ministry publication,World Bank / UN / ITU official statistical system,Line ministry / statistics office,,NO,,,,,missing,missing
78,Egypt,EGY,7.8,AI talent in agriculture sector,E2,Responsible AI & emerging tech,Ecosystem,no,rubric,agricultural,2024-2026,AI talent in agriculture sector. Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
79,Egypt,EGY,7.9,Cybersecurity of agricultural digital systems,E2,Responsible AI & emerging tech,Ecosystem,YES,core-gate-rubric,agricultural,2024-2026,"Cybersecurity controls applied to agricultural digital systems (registries, advisory, markets), not only the national GCI.","Agriculture-system security audit, CERT advisory or ministry CISO report",No scored international substitute.,Ministry of Agriculture CISO / national CERT,,NO,,,,,missing,missing
80,Egypt,EGY,7.10,Explainability and transparency of AI systems in agriculture,E2,Responsible AI & emerging tech,Ecosystem,no,rubric,agricultural,2024-2026,Explainability and transparency of AI systems in agriculture. Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
81,Egypt,EGY,7.11,Bias monitoring and mitigation in agricultural AI,E2,Responsible AI & emerging tech,Ecosystem,no,rubric,agricultural,2024-2026,Bias monitoring and mitigation in agricultural AI. Method: Anchored capability rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
82,Egypt,EGY,7.12,Farmer consent and data rights in AI systems,E2,Responsible AI & emerging tech,Ecosystem,YES,core-gate-rubric,agricultural,2024-2026,Documented farmer consent and data-rights practice in agricultural AI or digital-advisory systems.,"Consent policy, DPIA or farmer-facing terms issued by the ministry or a major public platform",No scored international substitute.,Data-protection authority / Ministry of Agriculture,,NO,,,,,missing,missing
